question_number,grammar_ref,unit_number,section_number,question,choice_a,choice_b,choice_c,choice_d,answer
260,N5,これはなんですか / What is this?,N5: 23,あの:     : あの,あの,あの,"that (＋noun, over there)",23,"that (＋noun, over there)"
261,N5,これはなんですか / What is this?,N5: 23,どの:     : どの,どの,どの,which (＋noun),23,which (＋noun)
262,N5,これはなんですか / What is this?,N5: 23,何:     : なに／なん,何,なに／なん,what,23,what
263,N5,これはなんですか / What is this?,N5: 23,名刺:     : めいし,名刺,めいし,business card,23,business card
264,N5,これはなんですか / What is this?,N5: 24,ケータイ:     : ケータイ,ケータイ,ケータイ,cell phone,24,cell phone
265,N5,これはなんですか / What is this?,N5: 24,スマホ:     : スマホ,スマホ,スマホ,smartphone,24,smartphone
266,N5,これはなんですか / What is this?,N5: 24,電池:     : でんち,電池,でんち,battery,24,battery
267,N5,これはなんですか / What is this?,N5: 24,ノート:     : ノート,ノート,ノート,notebook,24,notebook
268,N5,これはなんですか / What is this?,N5: 24,紙:     : かみ,紙,かみ,paper,24,paper
269,N5,これはなんですか / What is this?,N5: 24,手帳:     : てちょう,手帳,てちょう,planner / notebook,24,planner / notebook
270,N5,これはなんですか / What is this?,N5: 24,ボールペン:     : ボールペン,ボールペン,ボールペン,ballpoint pen,24,ballpoint pen
271,N5,これはなんですか / What is this?,N5: 24,シャープペンシル:     : シャープペンシル,シャープペンシル,シャープペンシル,mechanical pencil,24,mechanical pencil
272,N5,これはなんですか / What is this?,N5: 24,鉛筆:     : えんぴつ,鉛筆,えんぴつ,pencil,24,pencil
273,N5,これはなんですか / What is this?,N5: 24,消しゴム:     : けしゴム,消しゴム,けしゴム,eraser,24,eraser
274,N5,これはなんですか / What is this?,N5: 24,パンチ:     : パンチ,パンチ,パンチ,hole punch,24,hole punch
275,N5,これはなんですか / What is this?,N5: 24,ホッチキス:     : ホッチキス,ホッチキス,ホッチキス,stapler,24,stapler
276,N5,これはなんですか / What is this?,N5: 25,セロテープ:     : セロテープ,セロテープ,セロテープ,Scotch tape,25,Scotch tape
277,N5,これはなんですか / What is this?,N5: 25,はさみ:     : はさみ,はさみ,はさみ,scissors,25,scissors
278,N5,これはなんですか / What is this?,N5: 25,箱:     : はこ,箱,はこ,box,25,box
279,N5,これはなんですか / What is this?,N5: 25,コンピューター:     : コンピューター,コンピューター,コンピューター,computer,25,computer
280,N5,これはなんですか / What is this?,N5: 25,パソコン:     : パソコン,パソコン,パソコン,personal computer,25,personal computer
281,N5,これはなんですか / What is this?,N5: 25,インターネット:     : インターネット,インターネット,インターネット,internet,25,internet
282,N5,これはなんですか / What is this?,N5: 25,資料:     : しりょう,資料,しりょう,materials / documents,25,materials / documents
283,N5,これはなんですか / What is this?,N5: 25,切る:     : きる,切る,きる,to cut,25,to cut
284,N5,これはなんですか / What is this?,N5: 25,使う:     : つかう,使う,つかう,to use,25,to use
285,N5,何こありますか？ / How many is there?,N5: 26,何個:     : なんこ,何個,なんこ,how many (small objects),26,how many (small objects)
286,N5,何こありますか？ / How many is there?,N5: 26,～個:     : ～こ,～個,～こ,counter for small objects,26,counter for small objects
287,N5,何こありますか？ / How many is there?,N5: 26,１個:     : いっこ,１個,いっこ,one (small object),26,one (small object)
288,N5,何こありますか？ / How many is there?,N5: 26,２個:     : にこ,２個,にこ,two,26,two
289,N5,何こありますか？ / How many is there?,N5: 26,３個:     : さんこ,３個,さんこ,three,26,three
290,N5,何こありますか？ / How many is there?,N5: 26,４個:     : よんこ,４個,よんこ,four,26,four
291,N5,何こありますか？ / How many is there?,N5: 26,５個:     : ごこ,５個,ごこ,five,26,five
292,N5,何こありますか？ / How many is there?,N5: 26,６個:     : ろっこ,６個,ろっこ,six,26,six
293,N5,何こありますか？ / How many is there?,N5: 26,７個:     : ななこ,７個,ななこ,seven,26,seven
294,N5,何こありますか？ / How many is there?,N5: 27,８個:     : はっこ,８個,はっこ,eight,27,eight
295,N5,何こありますか？ / How many is there?,N5: 27,９個:     : きゅうこ,９個,きゅうこ,nine,27,nine
296,N5,何こありますか？ / How many is there?,N5: 27,１０個:     : じゅっこ／じっこ,１０個,じゅっこ／じっこ,ten,27,ten
297,N5,何こありますか？ / How many is there?,N5: 27,何台:     : なんだい,何台,なんだい,"how many (machines, vehicles)",27,"how many (machines, vehicles)"
298,N5,何こありますか？ / How many is there?,N5: 27,～台:     : ～だい,～台,～だい,"counter for machines, vehicles",27,"counter for machines, vehicles"
299,N5,何こありますか？ / How many is there?,N5: 27,１台:     : いちだい,１台,いちだい,one (machine),27,one (machine)
300,N5,何こありますか？ / How many is there?,N5: 27,２台:     : にだい,２台,にだい,two,27,two
301,N5,何こありますか？ / How many is there?,N5: 27,３台:     : さんだい,３台,さんだい,three,27,three
302,N5,何こありますか？ / How many is there?,N5: 27,４台:     : よんだい,４台,よんだい,four,27,four
303,N5,何こありますか？ / How many is there?,N5: 27,５台:     : ごだい,５台,ごだい,five,27,five
304,N5,何こありますか？ / How many is there?,N5: 27,６台:     : ろくだい,６台,ろくだい,six,27,six
305,N5,何こありますか？ / How many is there?,N5: 27,７台:     : ななだい,７台,ななだい,seven,27,seven
306,N5,何こありますか？ / How many is there?,N5: 27,８台:     : はちだい,８台,はちだい,eight,27,eight
307,N5,何こありますか？ / How many is there?,N5: 27,９台:     : きゅうだい,９台,きゅうだい,nine,27,nine
308,N5,何こありますか？ / How many is there?,N5: 27,１０台:     : じゅうだい,１０台,じゅうだい,ten,27,ten
309,N5,時間 / Time,N5: 28,何時:     : なんじ,何時,なんじ,what time,28,what time
310,N5,時間 / Time,N5: 28,何分:     : なんぷん,何分,なんぷん,what minute,28,what minute
311,N5,時間 / Time,N5: 28,～時:     : ～じ,～時,～じ,o’clock,28,o’clock
312,N5,時間 / Time,N5: 28,１時:     : いちじ,１時,いちじ,1 o’clock,28,1 o’clock
313,N5,時間 / Time,N5: 28,２時:     : にじ,２時,にじ,2 o’clock,28,2 o’clock
314,N5,時間 / Time,N5: 28,３時:     : さんじ,３時,さんじ,3 o’clock,28,3 o’clock
315,N5,時間 / Time,N5: 28,４時:     : よじ,４時,よじ,4 o’clock,28,4 o’clock
316,N5,時間 / Time,N5: 28,５時:     : ごじ,５時,ごじ,5 o’clock,28,5 o’clock
317,N5,時間 / Time,N5: 28,６時:     : ろくじ,６時,ろくじ,6 o’clock,28,6 o’clock
318,N5,時間 / Time,N5: 28,７時:     : しちじ,７時,しちじ,7 o’clock,28,7 o’clock
319,N5,時間 / Time,N5: 28,８時:     : はちじ,８時,はちじ,8 o’clock,28,8 o’clock
320,N5,時間 / Time,N5: 28,９時:     : くじ,９時,くじ,9 o’clock,28,9 o’clock
321,N5,時間 / Time,N5: 28,１０時:     : じゅうじ,１０時,じゅうじ,10 o’clock,28,10 o’clock
322,N5,時間 / Time,N5: 28,１１時:     : じゅういちじ,１１時,じゅういちじ,11 o’clock,28,11 o’clock
323,N5,時間 / Time,N5: 28,１２時:     : じゅうにじ,１２時,じゅうにじ,12 o’clock,28,12 o’clock
324,N5,時間 / Time,N5: 29,～分:     : ～ふん／～ぷん,～分,～ふん／～ぷん,minute(s),29,minute(s)
325,N5,時間 / Time,N5: 29,１分:     : いっぷん,１分,いっぷん,1 minute,29,1 minute
326,N5,時間 / Time,N5: 29,２分:     : にふん,２分,にふん,2 minutes,29,2 minutes
327,N5,時間 / Time,N5: 29,３分:     : さんぷん,３分,さんぷん,3 minutes,29,3 minutes
328,N5,時間 / Time,N5: 29,４分:     : よんぷん,４分,よんぷん,4 minutes,29,4 minutes
329,N5,時間 / Time,N5: 29,５分:     : ごふん,５分,ごふん,5 minutes,29,5 minutes
330,N5,時間 / Time,N5: 29,６分:     : ろっぷん,６分,ろっぷん,6 minutes,29,6 minutes
331,N5,時間 / Time,N5: 29,７分:     : ななふん,７分,ななふん,7 minutes,29,7 minutes
332,N5,時間 / Time,N5: 29,８分:     : はっぷん,８分,はっぷん,8 minutes,29,8 minutes
333,N5,時間 / Time,N5: 29,９分:     : きゅうふん,９分,きゅうふん,9 minutes,29,9 minutes
334,N5,時間 / Time,N5: 29,１０分:     : じゅっぷん／じっぷん,１０分,じゅっぷん／じっぷん,10 minutes,29,10 minutes
335,N5,時間 / Time,N5: 30,１１分:     : じゅういっぷん,１１分,じゅういっぷん,11 minutes,30,11 minutes
336,N5,時間 / Time,N5: 30,１２分:     : じゅうにふん,１２分,じゅうにふん,12 minutes,30,12 minutes
337,N5,時間 / Time,N5: 30,１５分:     : じゅうごふん,１５分,じゅうごふん,15 minutes,30,15 minutes
338,N5,時間 / Time,N5: 30,２０分:     : にじゅっぷん／にじっぷん,２０分,にじゅっぷん／にじっぷん,20 minutes,30,20 minutes
339,N5,時間 / Time,N5: 30,３０分:     : さんじゅっぷん／さんじっぷん,３０分,さんじゅっぷん／さんじっぷん,30 minutes,30,30 minutes
340,N5,時間 / Time,N5: 30,４０分:     : よんじゅっぷん／よんじっぷん,４０分,よんじゅっぷん／よんじっぷん,40 minutes,30,40 minutes
341,N5,時間 / Time,N5: 30,４５分:     : よんじゅうごふん,４５分,よんじゅうごふん,45 minutes,30,45 minutes
342,N5,時間 / Time,N5: 30,５０分:     : ごじゅっぷん／ごじっぷん,５０分,ごじゅっぷん／ごじっぷん,50 minutes,30,50 minutes
343,N5,時間 / Time,N5: 30,半:     : はん,半,はん,half past,30,half past
344,N5,時間 / Time,N5: 30,～頃:     : ～ごろ,～頃,～ごろ,around (time),30,around (time)
345,N5,時間 / Time,N5: 31,午前:     : ごぜん,午前,ごぜん,a.m.,31,a.m.
346,N5,時間 / Time,N5: 31,午後:     : ごご,午後,ごご,p.m.,31,p.m.
347,N5,時間 / Time,N5: 31,今:     : いま,今,いま,now,31,now
348,N5,時間 / Time,N5: 31,～ぐらい:     : ～ぐらい,～ぐらい,～ぐらい,about / approximately,31,about / approximately
349,N5,時間 / Time,N5: 31,～時間:     : ～じかん,～時間,～じかん,~hours,31,~hours
350,N5,時間 / Time,N5: 31,何時間:     : なんじかん,何時間,なんじかん,how many hours,31,how many hours
351,N5,時間 / Time,N5: 31,～から:     : ～から,～から,～から,from,31,from
352,N5,時間 / Time,N5: 31,～まで:     : ～まで,～まで,～まで,until / to,31,until / to
353,N5,どんな人 / What kind of person?,N5: 32,友達:     : ともだち,友達,ともだち,friend,32,friend
354,N5,どんな人 / What kind of person?,N5: 32,どんな:     : どんな,どんな,どんな,what kind of,32,what kind of
355,N5,どんな人 / What kind of person?,N5: 32,人:     : ひと,人,ひと,person,32,person
356,N5,どんな人 / What kind of person?,N5: 32,親切な:     : しんせつな,親切な,しんせつな,kind,32,kind
357,N5,どんな人 / What kind of person?,N5: 32,みんな:     : みんな,みんな,みんな,everyone,32,everyone
358,N5,どんな人 / What kind of person?,N5: 32,元気な:     : げんきな,元気な,げんきな,healthy / energetic,32,healthy / energetic
359,N5,どんな人 / What kind of person?,N5: 32,きれいな:     : きれいな,きれいな,きれいな,pretty / clean,32,pretty / clean
360,N5,どんな人 / What kind of person?,N5: 32,ハンサムな:     : ハンサムな,ハンサムな,ハンサムな,handsome,32,handsome
361,N5,どんな人 / What kind of person?,N5: 32,かわいい:     : かわいい,かわいい,かわいい,cute,32,cute
362,N5,どんな人 / What kind of person?,N5: 32,かっこいい:     : かっこいい,かっこいい,かっこいい,cool / good-looking,32,cool / good-looking
363,N5,どんな人 / What kind of person?,N5: 32,頭がいい:     : あたまがいい,頭がいい,あたまがいい,smart,32,smart
364,N5,どんな人 / What kind of person?,N5: 33,やさしい:     : やさしい,やさしい,やさしい,kind / gentle,33,kind / gentle
365,N5,どんな人 / What kind of person?,N5: 33,ユーモア:     : ユーモア,ユーモア,ユーモア,humor,33,humor
366,N5,どんな人 / What kind of person?,N5: 33,背:     : せ,背,せ,height,33,height
367,N5,どんな人 / What kind of person?,N5: 33,高い:     : たかい,高い,たかい,tall / high,33,tall / high
368,N5,どんな人 / What kind of person?,N5: 33,低い:     : ひくい,低い,ひくい,short (height) / low,33,short (height) / low
369,N5,どんな人 / What kind of person?,N5: 33,目:     : め,目,め,eye,33,eye
370,N5,どんな人 / What kind of person?,N5: 33,大きい:     : おおきい,大きい,おおきい,big,33,big
371,N5,どんな人 / What kind of person?,N5: 33,小さい:     : ちいさい,小さい,ちいさい,small,33,small
372,N5,どんな人 / What kind of person?,N5: 33,髪:     : かみ,髪,かみ,hair,33,hair
373,N5,どんな人 / What kind of person?,N5: 33,長い:     : ながい,長い,ながい,long,33,long
374,N5,どんな人 / What kind of person?,N5: 33,短い:     : みじかい,短い,みじかい,short,33,short
375,N5,シャツをきています / I am wearing a shirt,N5: 34,洋服:     : ようふく,洋服,ようふく,clothes (Western-style),34,clothes (Western-style)
376,N5,シャツをきています / I am wearing a shirt,N5: 34,服:     : ふく,服,ふく,clothes,34,clothes
377,N5,シャツをきています / I am wearing a shirt,N5: 34,サイズ:     : サイズ,サイズ,サイズ,size,34,size
378,N5,シャツをきています / I am wearing a shirt,N5: 34,すてきな:     : すてきな,すてきな,すてきな,nice / wonderful,34,nice / wonderful
379,N5,シャツをきています / I am wearing a shirt,N5: 34,デザイン:     : デザイン,デザイン,デザイン,design,34,design
380,N5,シャツをきています / I am wearing a shirt,N5: 34,着る:     : きる,着る,きる,to wear (top),34,to wear (top)
381,N5,シャツをきています / I am wearing a shirt,N5: 34,脱ぐ:     : ぬぐ,脱ぐ,ぬぐ,to take off (clothes),34,to take off (clothes)
382,N5,シャツをきています / I am wearing a shirt,N5: 34,赤い:     : あかい,赤い,あかい,red,34,red
383,N5,シャツをきています / I am wearing a shirt,N5: 34,青い:     : あおい,青い,あおい,blue,34,blue
384,N5,シャツをきています / I am wearing a shirt,N5: 34,白い:     : しろい,白い,しろい,white,34,white
385,N5,シャツをきています / I am wearing a shirt,N5: 35,黒い:     : くろい,黒い,くろい,black,35,black
386,N5,シャツをきています / I am wearing a shirt,N5: 35,黄色い:     : きいろい,黄色い,きいろい,yellow,35,yellow
387,N5,シャツをきています / I am wearing a shirt,N5: 35,いろいろな:     : いろいろな,いろいろな,いろいろな,various,35,various
388,N5,シャツをきています / I am wearing a shirt,N5: 35,シャツ:     : シャツ,シャツ,シャツ,Shirts,35,Shirts
389,N5,シャツをきています / I am wearing a shirt,N5: 35,セーター:     : セーター,セーター,セーター,sweater,35,sweater
390,N5,シャツをきています / I am wearing a shirt,N5: 35,コート:     : コート,コート,コート,coat,35,coat
391,N5,シャツをきています / I am wearing a shirt,N5: 35,スーツ:     : スーツ,スーツ,スーツ,suit,35,suit
392,N5,シャツをきています / I am wearing a shirt,N5: 35,上着:     : うわぎ,上着,うわぎ,jacket,35,jacket
393,N5,シャツをきています / I am wearing a shirt,N5: 35,下着:     : したぎ,下着,したぎ,underwear,35,underwear
394,N5,シャツをきています / I am wearing a shirt,N5: 35,着物:     : きもの,着物,きもの,kimono,35,kimono
395,N5,スカートをはきます / I wear a skirt,N5: 36,はく:     : はく,はく,はく,to wear (bottoms/shoes),36,to wear (bottoms/shoes)
396,N5,スカートをはきます / I wear a skirt,N5: 36,ズボン:     : ズボン,ズボン,ズボン,pants,36,pants
397,N5,スカートをはきます / I wear a skirt,N5: 36,ジーンズ:     : ジーンズ,ジーンズ,ジーンズ,jeans,36,jeans
398,N5,スカートをはきます / I wear a skirt,N5: 36,パンツ:     : パンツ,パンツ,パンツ,underwear / pants,36,underwear / pants
399,N5,スカートをはきます / I wear a skirt,N5: 36,スカート:     : スカート,スカート,スカート,skirt,36,skirt
400,N5,スカートをはきます / I wear a skirt,N5: 36,靴:     : くつ,靴,くつ,shoes,36,shoes
401,N5,スカートをはきます / I wear a skirt,N5: 36,靴下:     : くつした,靴下,くつした,socks,36,socks
402,N5,スカートをはきます / I wear a skirt,N5: 36,かぶる:     : かぶる,かぶる,かぶる,to wear (hat),36,to wear (hat)
403,N5,スカートをはきます / I wear a skirt,N5: 36,帽子:     : ぼうし,帽子,ぼうし,hat,36,hat
404,N5,スカートをはきます / I wear a skirt,N5: 36,（めがねを）かける:     : （めがねを）かける,（めがねを）かける,（めがねを）かける,to wear (glasses),36,to wear (glasses)
405,N5,スカートをはきます / I wear a skirt,N5: 37,めがね:     : めがね,めがね,めがね,glasses,37,glasses
406,N5,スカートをはきます / I wear a skirt,N5: 37,サングラス:     : サングラス,サングラス,サングラス,sunglasses,37,sunglasses
407,N5,スカートをはきます / I wear a skirt,N5: 37,（ゆびわを）する:     : （ゆびわを）する,（ゆびわを）する,（ゆびわを）する,to wear (a ring),37,to wear (a ring)
408,N5,スカートをはきます / I wear a skirt,N5: 37,ネクタイ:     : ネクタイ,ネクタイ,ネクタイ,necktie,37,necktie
409,N5,スカートをはきます / I wear a skirt,N5: 37,ゆびわ:     : ゆびわ,ゆびわ,ゆびわ,ring,37,ring
410,N5,スカートをはきます / I wear a skirt,N5: 37,時計:     : とけい,時計,とけい,watch / clock,37,watch / clock
411,N5,スカートをはきます / I wear a skirt,N5: 37,持つ:     : もつ,持つ,もつ,to hold / to have,37,to hold / to have
412,N5,スカートをはきます / I wear a skirt,N5: 37,かばん:     : かばん,かばん,かばん,bag,37,bag
413,N5,スカートをはきます / I wear a skirt,N5: 37,財布:     : さいふ,財布,さいふ,wallet,37,wallet
414,N5,あそぶ / To play,N5: 38,遊ぶ:     : あそぶ,遊ぶ,あそぶ,to play / have fun,38,to play / have fun
415,N5,あそぶ / To play,N5: 38,案内（する）:     : あんない（する）,案内（する）,あんない（する）,(to) guide / show around,38,(to) guide / show around
416,N5,あそぶ / To play,N5: 38,むかえる:     : むかえる,むかえる,むかえる,to welcome / meet,38,to welcome / meet
417,N5,あそぶ / To play,N5: 38,連れていく:     : つれていく,連れていく,つれていく,to take (someone) along,38,to take (someone) along
418,N5,あそぶ / To play,N5: 38,連れてくる:     : つれてくる,連れてくる,つれてくる,to bring (someone),38,to bring (someone)
419,N5,あそぶ / To play,N5: 38,動物:     : どうぶつ,動物,どうぶつ,animal,38,animal
420,N5,あそぶ / To play,N5: 38,動物園:     : どうぶつえん,動物園,どうぶつえん,zoo,38,zoo
421,N5,あそぶ / To play,N5: 38,パンダ:     : パンダ,パンダ,パンダ,panda,38,panda
422,N5,あそぶ / To play,N5: 38,ぞう:     : ぞう,ぞう,ぞう,elephant,38,elephant
423,N5,あそぶ / To play,N5: 39,馬:     : うま,馬,うま,horse,39,horse
424,N5,あそぶ / To play,N5: 39,祭り:     : まつり,祭り,まつり,festival,39,festival
425,N5,あそぶ / To play,N5: 39,お祭り:     : おまつり,お祭り,おまつり,festival (polite),39,festival (polite)
426,N5,あそぶ / To play,N5: 39,寺:     : てら,寺,てら,temple,39,temple
427,N5,あそぶ / To play,N5: 39,お寺:     : おてら,お寺,おてら,temple (polite),39,temple (polite)
428,N5,あそぶ / To play,N5: 39,神社:     : じんじゃ,神社,じんじゃ,shrine,39,shrine
429,N5,あそぶ / To play,N5: 39,旅行（する）:     : りょこう（する）,旅行（する）,りょこう（する）,(to) travel,39,(to) travel
430,N5,あそぶ / To play,N5: 39,準備（する）:     : じゅんび（する）,準備（する）,じゅんび（する）,(to) prepare,39,(to) prepare
431,N5,あそぶ / To play,N5: 39,予約（する）:     : よやく（する）,予約（する）,よやく（する）,(to) reserve / book,39,(to) reserve / book
432,N5,あそぶ / To play,N5: 39,ホテル:     : ホテル,ホテル,ホテル,hotel,39,hotel
433,N5,あそぶ / To play,N5: 40,泊まる:     : とまる,泊まる,とまる,to stay overnight,40,to stay overnight
434,N5,あそぶ / To play,N5: 40,ロビー:     : ロビー,ロビー,ロビー,lobby,40,lobby
435,N5,あそぶ / To play,N5: 40,お土産:     : おみやげ,お土産,おみやげ,souvenir,40,souvenir
436,N5,あそぶ / To play,N5: 40,サービス:     : サービス,サービス,サービス,service,40,service
437,N5,あそぶ / To play,N5: 40,ホームステイ（する）:     : ホームステイ（する）,ホームステイ（する）,ホームステイ（する）,(to) do a homestay,40,(to) do a homestay
438,N5,まち / Town,N5: 41,町:     : まち,町,まち,town / city,41,town / city
439,N5,まち / Town,N5: 41,県:     : けん,県,けん,prefecture,41,prefecture
440,N5,まち / Town,N5: 41,ふくおか県:     : ふくおかけん,ふくおか県,ふくおかけん,Fukuoka Prefecture,41,Fukuoka Prefecture
441,N5,まち / Town,N5: 41,ちば県:     : ちばけん,ちば県,ちばけん,Chiba Prefecture,41,Chiba Prefecture
442,N5,まち / Town,N5: 41,東京:     : とうきょう,東京,とうきょう,Tokyo,41,Tokyo
443,N5,まち / Town,N5: 41,成田:     : なりた,成田,なりた,Narita,41,Narita
444,N5,まち / Town,N5: 41,上野:     : うえの,上野,うえの,Ueno,41,Ueno
445,N5,まち / Town,N5: 41,浅草:     : あさくさ,浅草,あさくさ,Asakusa,41,Asakusa
446,N5,まち / Town,N5: 41,秋葉原:     : あきはばら,秋葉原,あきはばら,Akihabara,41,Akihabara
447,N5,まち / Town,N5: 41,新宿:     : しんじゅく,新宿,しんじゅく,Shinjuku,41,Shinjuku
448,N5,まち / Town,N5: 41,渋谷:     : しぶや,渋谷,しぶや,Shibuya,41,Shibuya
449,N5,まち / Town,N5: 42,銀座:     : ぎんざ,銀座,ぎんざ,Ginza,42,Ginza
450,N5,まち / Town,N5: 42,羽田:     : はねだ,羽田,はねだ,Haneda,42,Haneda
451,N5,まち / Town,N5: 42,鎌倉:     : かまくら,鎌倉,かまくら,Kamakura,42,Kamakura
452,N5,まち / Town,N5: 42,横浜:     : よこはま,横浜,よこはま,Yokohama,42,Yokohama
453,N5,まち / Town,N5: 42,北海道:     : ほっかいどう,北海道,ほっかいどう,Hokkaido,42,Hokkaido
454,N5,まち / Town,N5: 42,札幌:     : さっぽろ,札幌,さっぽろ,Sapporo,42,Sapporo
455,N5,まち / Town,N5: 42,仙台:     : せんだい,仙台,せんだい,Sendai,42,Sendai
456,N5,まち / Town,N5: 42,日光:     : にっこう,日光,にっこう,Nikko,42,Nikko
457,N5,まち / Town,N5: 42,富士山:     : ふじさん,富士山,ふじさん,Mount Fuji,42,Mount Fuji
458,N5,まち / Town,N5: 42,金沢:     : かなざわ,金沢,かなざわ,Kanazawa,42,Kanazawa
459,N5,まち / Town,N5: 42,名古屋:     : なごや,名古屋,なごや,Nagoya,42,Nagoya
460,N5,まち / Town,N5: 42,京都:     : きょうと,京都,きょうと,Kyoto,42,Kyoto
461,N5,まち / Town,N5: 43,奈良:     : なら,奈良,なら,Nara,43,Nara
462,N5,まち / Town,N5: 43,大阪:     : おおさか,大阪,おおさか,Osaka,43,Osaka
463,N5,まち / Town,N5: 43,神戸:     : こうべ,神戸,こうべ,Kobe,43,Kobe
464,N5,まち / Town,N5: 43,広島:     : ひろしま,広島,ひろしま,Hiroshima,43,Hiroshima
465,N5,まち / Town,N5: 43,長崎:     : ながさき,長崎,ながさき,Nagasaki,43,Nagasaki
466,N5,まち / Town,N5: 43,沖縄:     : おきなわ,沖縄,おきなわ,Okinawa,43,Okinawa
467,N5,あさ・よる / Morning・Evening,N5: 44,朝:     : あさ,朝,あさ,morning,44,morning
468,N5,あさ・よる / Morning・Evening,N5: 44,昼:     : ひる,昼,ひる,noon / daytime,44,noon / daytime
469,N5,あさ・よる / Morning・Evening,N5: 44,夜:     : よる,夜,よる,night,44,night
470,N5,あさ・よる / Morning・Evening,N5: 44,毎朝:     : まいあさ,毎朝,まいあさ,every morning,44,every morning
471,N5,あさ・よる / Morning・Evening,N5: 44,毎晩:     : まいばん,毎晩,まいばん,every night,44,every night
472,N5,あさ・よる / Morning・Evening,N5: 44,今朝:     : けさ,今朝,けさ,this morning,44,this morning
473,N5,あさ・よる / Morning・Evening,N5: 44,今晩:     : こんばん,今晩,こんばん,this evening / tonight,44,this evening / tonight
474,N5,あさ・よる / Morning・Evening,N5: 44,起きる:     : おきる,起きる,おきる,to get up,44,to get up
475,N5,あさ・よる / Morning・Evening,N5: 44,寝る:     : ねる,寝る,ねる,to sleep,44,to sleep
476,N5,あさ・よる / Morning・Evening,N5: 44,見る:     : みる,見る,みる,to see / to watch,44,to see / to watch
477,N5,あさ・よる / Morning・Evening,N5: 44,ニュース:     : ニュース,ニュース,ニュース,news,44,news
478,N5,あさ・よる / Morning・Evening,N5: 44,ラジオ:     : ラジオ,ラジオ,ラジオ,radio,44,radio
479,N5,あさ・よる / Morning・Evening,N5: 44,テレビ:     : テレビ,テレビ,テレビ,television,44,television
480,N5,あさ・よる / Morning・Evening,N5: 45,早い:     : はやい,早い,はやい,early / fast,45,early / fast
481,N5,あさ・よる / Morning・Evening,N5: 45,遅い:     : おそい,遅い,おそい,late / slow,45,late / slow
482,N5,あさ・よる / Morning・Evening,N5: 45,鏡:     : かがみ,鏡,かがみ,mirror,45,mirror
483,N5,あさ・よる / Morning・Evening,N5: 45,顔:     : かお,顔,かお,face,45,face
484,N5,あさ・よる / Morning・Evening,N5: 45,洗う:     : あらう,洗う,あらう,to wash,45,to wash
485,N5,あさ・よる / Morning・Evening,N5: 45,お風呂:     : おふろ,お風呂,おふろ,bath,45,bath
486,N5,あさ・よる / Morning・Evening,N5: 45,入る:     : はいる,入る,はいる,to enter / take (a bath),45,to enter / take (a bath)
487,N5,あさ・よる / Morning・Evening,N5: 45,シャワー:     : シャワー,シャワー,シャワー,shower,45,shower
488,N5,あさ・よる / Morning・Evening,N5: 45,浴びる:     : あびる,浴びる,あびる,to take (a shower),45,to take (a shower)
489,N5,あさ・よる / Morning・Evening,N5: 45,歯:     : は,歯,は,tooth / teeth,45,tooth / teeth
490,N5,あさ・よる / Morning・Evening,N5: 45,磨く:     : みがく,磨く,みがく,to brush / polish,45,to brush / polish
491,N5,たべる・のむ / To eat ・To drink,N5: 46,食べる:     : たべる,食べる,たべる,to eat,46,to eat
492,N5,たべる・のむ / To eat ・To drink,N5: 46,食べ物:     : たべもの,食べ物,たべもの,food,46,food
493,N5,たべる・のむ / To eat ・To drink,N5: 46,朝ごはん:     : あさごはん,朝ごはん,あさごはん,breakfast,46,breakfast
494,N5,たべる・のむ / To eat ・To drink,N5: 46,昼ごはん:     : ひるごはん,昼ごはん,ひるごはん,lunch,46,lunch
495,N5,たべる・のむ / To eat ・To drink,N5: 46,晩ごはん:     : ばんごはん,晩ごはん,ばんごはん,dinner,46,dinner
496,N5,たべる・のむ / To eat ・To drink,N5: 46,たくさん:     : たくさん,たくさん,たくさん,a lot / many,46,a lot / many
497,N5,たべる・のむ / To eat ・To drink,N5: 46,スーパー:     : スーパー,スーパー,スーパー,supermarket,46,supermarket
498,N5,たべる・のむ / To eat ・To drink,N5: 46,肉:     : にく,肉,にく,meat,46,meat
499,N5,たべる・のむ / To eat ・To drink,N5: 46,牛肉:     : ぎゅうにく,牛肉,ぎゅうにく,beef,46,beef
500,N5,たべる・のむ / To eat ・To drink,N5: 46,豚肉:     : ぶたにく,豚肉,ぶたにく,pork,46,pork
501,N5,たべる・のむ / To eat ・To drink,N5: 46,鶏肉:     : とりにく,鶏肉,とりにく,chicken,46,chicken
502,N5,たべる・のむ / To eat ・To drink,N5: 46,魚:     : さかな,魚,さかな,fish,46,fish
503,N5,たべる・のむ / To eat ・To drink,N5: 47,卵:     : たまご,卵,たまご,egg,47,egg
504,N5,たべる・のむ / To eat ・To drink,N5: 47,野菜:     : やさい,野菜,やさい,vegetables,47,vegetables
505,N5,たべる・のむ / To eat ・To drink,N5: 47,果物:     : くだもの,果物,くだもの,fruit,47,fruit
506,N5,たべる・のむ / To eat ・To drink,N5: 47,バナナ:     : バナナ,バナナ,バナナ,banana,47,banana
507,N5,たべる・のむ / To eat ・To drink,N5: 47,リンゴ:     : りんご,リンゴ,りんご,apple,47,apple
508,N5,たべる・のむ / To eat ・To drink,N5: 47,レモン:     : レモン,レモン,レモン,lemon,47,lemon
